Released_Year,Certificate,Runtime,Genre,IMDB_Rating,Meta_score,Director,Star1,Star2,Star3,Star4,No_of_Votes,Gross
1972.0,1,175.0,122,9.2,100.0,137,417,9,335,194,1620367.0,134966411.0
2008.0,14,152.0,22,9.0,84.0,83,128,283,1,620,2303232.0,534858444.0
1974.0,1,202.0,122,9.0,90.0,137,9,656,703,194,1129952.0,57300000.0
1957.0,12,96.0,122,9.0,96.0,456,252,464,534,421,689845.0,4360000.0
2003.0,12,201.0,4,8.9,94.0,383,184,796,313,678,1642758.0,377845905.0
1994.0,1,154.0,122,8.9,94.0,391,325,791,748,111,1826188.0,107928762.0
1993.0,1,195.0,87,8.9,94.0,470,386,638,73,132,1213505.0,96898818.0
2010.0,14,148.0,11,8.8,74.0,83,382,409,216,496,2067042.0,292576195.0
1999.0,1,139.0,137,8.8,66.0,100,80,189,553,930,1854740.0,37030102.0
2001.0,12,178.0,4,8.8,92.0,383,184,300,623,799,1661481.0,315544750.0
1994.0,14,142.0,172,8.8,82.0,426,604,666,257,779,1809221.0,330252182.0
1966.0,1,161.0,201,8.8,90.0,449,135,196,485,17,688390.0,6100000.0
2002.0,14,179.0,4,8.7,87.0,383,184,300,854,678,1485555.0,342551365.0
1999.0,1,136.0,34,8.7,73.0,284,388,435,479,133,1676426.0,171479930.0
1990.0,1,146.0,84,8.7,90.0,313,514,644,384,552,1020727.0,46836394.0
1980.0,14,124.0,6,8.7,82.0,191,414,280,110,92,1159315.0,290475067.0
1975.0,1,133.0,137,8.7,83.0,342,273,482,562,699,918088.0,112000000.0
2020.0,6,160.0,87,8.6,90.0,492,390,627,490,734,55291.0,0.0
2019.0,1,132.0,106,8.6,96.0,56,343,466,131,152,552778.0,53367844.0
2020.0,12,153.0,137,8.6,83.6313381958629,472,577,490,630,55,54995.0,0.0
2014.0,14,169.0,51,8.6,74.0,83,426,46,370,564,1512360.0,188020017.0
2002.0,1,130.0,122,8.6,79.0,135,367,24,483,602,699256.0,7563397.0
2001.0,12,125.0,69,8.6,96.0,179,153,742,583,768,651376.0,10055859.0
1998.0,8,169.0,182,8.6,91.0,470,604,521,831,223,1235804.0,216540909.0
1999.0,1,189.0,123,8.6,61.0,141,604,540,178,98,1147794.0,136801374.0
1997.0,12,116.0,105,8.6,59.0,427,518,583,273,291,623629.0,57598247.0
1995.0,1,127.0,129,8.6,65.0,100,453,81,459,38,1445096.0,100125643.0
1991.0,1,118.0,132,8.6,85.0,253,312,51,480,479,1270197.0,130742922.0
1977.0,14,121.0,6,8.6,90.0,158,414,280,110,19,1231473.0,322740140.0
1962.0,15,133.0,27,8.6,85.0,316,591,6,771,853,42004.0,0.0
1954.0,12,207.0,4,8.6,98.0,9,611,748,452,921,315744.0,269061.0
1946.0,5,130.0,139,8.6,89.0,140,282,177,499,857,405801.0,0.0
2019.0,1,122.0,132,8.5,59.0,499,311,656,887,263,939252.0,335451311.0
2014.0,1,106.0,162,8.5,88.0,90,448,312,557,693,717585.0,13092000.0
2011.0,14,112.0,83,8.5,57.0,366,657,236,621,47,760360.0,13182281.0
2006.0,12,130.0,169,8.5,66.0,83,128,297,755,620,1190259.0,53089891.0
2006.0,1,151.0,132,8.5,85.0,313,382,521,330,588,1189773.0,132384315.0
2002.0,8,150.0,88,8.5,85.0,431,6,763,242,242,729603.0,32572577.0
2000.0,14,155.0,4,8.5,67.0,411,531,379,152,676,1341460.0,187705427.0
1998.0,8,119.0,137,8.5,62.0,507,181,187,78,394,1034705.0,6719864.0
1995.0,1,106.0,135,8.5,77.0,64,358,241,123,827,991208.0,23341568.0
1994.0,1,110.0,22,8.5,64.0,294,298,245,597,179,1035236.0,19501238.0
1994.0,12,88.0,68,8.5,88.0,428,512,523,367,364,942045.0,422783777.0
1991.0,12,137.0,34,8.5,75.0,202,45,478,207,750,995506.0,204843350.0
1988.0,12,155.0,172,8.5,80.0,167,485,209,51,345,230763.0,11990401.0
1988.0,12,89.0,80,8.5,94.0,192,613,63,7,919,235231.0,0.0
1985.0,12,116.0,44,8.5,87.0,426,438,131,482,169,1058081.0,210609762.0
1968.0,12,165.0,201,8.5,80.0,449,252,109,149,378,302844.0,5321508.0
1960.0,1,109.0,194,8.5,97.0,22,38,339,848,422,604211.0,32000000.0
1942.0,12,102.0,175,8.5,100.0,329,262,303,639,162,522093.0,1024560.0
1936.0,3,87.0,101,8.5,96.0,74,111,620,300,863,217881.0,163245.0
1931.0,3,87.0,105,8.5,99.0,74,111,801,235,316,167839.0,19181.0
2018.0,1,126.0,137,8.4,75.0,346,653,828,90,488,62635.0,1661096.0
2017.0,15,125.0,87,8.4,82.13907437966071,68,198,838,322,516,34112.0,0.0
2017.0,14,147.0,22,8.4,81.550712139506,154,490,490,855,812,28401.0,0.0
2016.0,12,106.0,78,8.4,79.0,300,536,564,731,54,194838.0,5017246.0
2016.0,12,161.0,16,8.4,80.57326211318801,359,0,689,230,788,156479.0,12391761.0
2018.0,12,117.0,62,8.4,87.0,55,480,670,767,359,375110.0,190241310.0
2019.0,14,181.0,4,8.4,78.0,36,314,657,134,585,809955.0,858373000.0
2018.0,14,149.0,11,8.4,68.0,36,314,657,135,585,834477.0,678815482.0
2017.0,12,105.0,69,8.4,81.0,288,5,50,253,82,384171.0,209726015.0
2012.0,1,165.0,184,8.4,81.0,391,284,129,488,498,1357682.0,162805434.0
2012.0,14,164.0,0,8.4,78.0,83,128,774,43,274,1516346.0,448139099.0
2009.0,14,170.0,100,8.4,67.0,394,0,490,587,805,344445.0,6532908.0
2007.0,12,165.0,138,8.4,81.6275474798228,0,22,151,0,864,168895.0,1223869.0
2008.0,12,98.0,69,8.4,95.0,30,58,197,360,270,999790.0,223808164.0
2006.0,1,137.0,170,8.4,89.0,136,615,513,763,879,358685.0,11286112.0
2003.0,1,101.0,27,8.4,77.0,73,120,827,438,503,515451.0,707481.0
2000.0,14,113.0,199,8.4,80.0,83,244,103,383,583,1125712.0,25544867.0
1997.0,12,134.0,62,8.4,76.0,179,651,831,884,91,343171.0,2375308.0
1984.0,1,229.0,122,8.4,82.38697278324781,449,514,330,214,873,311365.0,5321508.0
1981.0,1,115.0,0,8.4,85.0,470,249,426,637,433,884112.0,248159971.0
1980.0,1,146.0,158,8.4,66.0,463,273,714,171,797,898237.0,44017374.0
1979.0,8,147.0,171,8.4,94.0,137,420,510,703,271,606398.0,83471511.0
1979.0,8,117.0,195,8.4,89.0,411,564,777,398,884,787806.0,78900000.0
1971.0,12,122.0,166,8.4,89.24321163065778,188,494,30,791,724,30273.0,0.0
1963.0,15,143.0,129,8.4,89.83372225380674,9,611,832,809,517,34357.0,0.0
1964.0,1,95.0,93,8.4,97.0,463,481,256,788,491,450474.0,275902.0
1957.0,12,116.0,129,8.4,91.10003902154682,49,614,509,121,239,108862.0,8175000.0
1957.0,1,88.0,182,8.4,90.0,463,362,639,5,284,178092.0,0.0
1954.0,12,112.0,199,8.4,100.0,22,282,270,868,854,444074.0,36764313.0
1950.0,7,110.0,149,8.4,91.62684244740896,49,637,269,222,655,201632.0,0.0
1940.0,7,125.0,107,8.4,92.71255408303017,74,111,620,331,730,203150.0,288475.0
2019.0,8,119.0,180,8.3,78.0,438,162,259,166,165,425844.0,159227644.0
2018.0,1,104.0,144,8.3,81.18461998555065,392,26,0,781,466,27793.0,0.0
2018.0,14,139.0,127,8.3,79.90592664683143,460,52,745,666,44,71875.0,1373943.0
2013.0,12,160.0,132,8.3,80.32978911663614,222,452,528,61,49,30722.0,0.0
2012.0,8,115.0,137,8.3,77.0,493,399,762,46,522,281623.0,687185.0
2011.0,6,123.0,137,8.3,95.0,42,475,470,753,804,220002.0,7098492.0
2010.0,8,131.0,171,8.3,80.0,110,394,570,552,650,150023.0,6857096.0
2019.0,9,132.0,137,8.3,80.19372820703975,323,43,588,188,139,33935.0,0.0
2005.0,15,112.0,138,8.3,82.58964444987319,546,656,227,311,227,78925.0,0.0
2009.0,1,153.0,53,8.3,69.0,391,80,165,211,651,1267869.0,120540719.0
2004.0,14,108.0,173,8.3,89.0,334,308,428,832,289,911664.0,34400301.0
2001.0,12,122.0,119,8.3,69.0,219,51,520,723,550,703810.0,33225499.0
2000.0,14,104.0,94,8.3,55.0,175,293,81,75,191,782001.0,30328156.0
2000.0,1,102.0,137,8.3,68.0,97,187,341,363,590,766870.0,3635482.0
1999.0,14,122.0,137,8.3,84.0,438,358,47,820,902,1069738.0,130096601.0
1997.0,12,126.0,172,8.3,70.0,173,519,521,70,826,861606.0,138433435.0
1997.0,5,89.0,141,8.3,77.0,299,451,29,64,652,65341.0,933933.0
1995.0,12,81.0,67,8.3,95.0,243,604,765,199,407,887429.0,191796233.0
1995.0,1,178.0,87,8.3,68.0,325,432,730,635,43,959181.0,75600000.0
1992.0,8,99.0,132,8.3,79.0,391,251,767,567,154,918562.0,2832029.0
1987.0,14,116.0,182,8.3,76.0,463,427,633,858,3,675146.0,46357676.0
1985.0,1,142.0,180,8.3,84.90884515894888,121,15,597,503,891,59056.0,0.0
1986.0,12,137.0,11,8.3,84.0,202,564,538,111,693,652719.0,85160248.0
1984.0,8,160.0,87,8.3,88.0,342,203,776,213,763,369007.0,51973029.0
1983.0,1,170.0,122,8.3,65.0,60,9,549,789,596,740911.0,45598982.0
1983.0,12,131.0,6,8.3,58.0,409,414,280,110,92,950470.0,309125409.0
1981.0,8,149.0,52,8.3,86.0,530,341,290,466,335,231855.0,11487676.0
1976.0,1,114.0,122,8.3,94.0,313,514,381,157,16,724636.0,28262574.0
1973.0,12,129.0,95,8.3,83.0,161,473,660,708,141,241513.0,159600000.0
1971.0,1,136.0,131,8.3,77.0,463,401,610,561,899,757904.0,6207725.0
1968.0,12,149.0,60,8.3,84.0,463,349,244,875,178,603517.0,56954992.0
1965.0,12,132.0,201,8.3,74.0,449,135,468,269,570,232772.0,15000000.0
1962.0,12,228.0,38,8.3,100.0,101,479,17,50,352,268085.0,44824144.0
1960.0,12,125.0,105,8.3,94.0,49,272,717,248,728,164363.0,18600000.0
1959.0,12,136.0,59,8.3,98.0,22,104,217,339,404,299198.0,13275000.0
1958.0,1,128.0,197,8.3,100.0,22,282,448,65,867,364368.0,3200000.0
1952.0,3,103.0,116,8.3,99.0,461,224,253,200,187,218957.0,8819028.0
1952.0,15,143.0,137,8.3,89.83441498508725,9,586,589,772,318,68463.0,55240.0
1948.0,15,89.0,137,8.3,91.46017591330039,519,372,210,493,230,146427.0,332930.0
1944.0,7,107.0,124,8.3,95.0,49,216,65,208,119,143525.0,5720000.0
1941.0,14,119.0,167,8.3,100.0,368,468,408,201,5,403351.0,1585634.0
1931.0,7,117.0,135,8.3,93.26380081157865,146,478,198,319,681,143434.0,28877.0
1927.0,15,153.0,176,8.3,98.0,146,87,25,286,765,159992.0,1236166.0
1921.0,7,68.0,101,8.3,96.4386834805317,74,111,185,333,126,113314.0,5450000.0
2019.0,14,143.0,100,8.2,78.44694700653321,359,579,718,847,710,33893.0,898575.0
2018.0,14,138.0,31,8.2,78.7115855441881,8,621,605,584,916,43444.0,4186168.0
2018.0,14,156.0,25,8.2,78.200544620389,389,645,733,672,56,36680.0,0.0
2018.0,14,130.0,83,8.2,69.0,382,624,495,497,800,377884.0,85080171.0
2017.0,1,115.0,95,8.2,88.0,311,212,822,743,123,432610.0,54513740.0
2015.0,14,132.0,129,8.2,79.38104634961837,322,267,450,601,818,31142.0,342370.0
2017.0,14,167.0,25,8.2,77.99028032208219,437,487,640,54,845,75348.0,20186659.0
2019.0,5,96.0,67,8.2,65.0,450,101,343,325,727,104761.0,0.0
2015.0,14,163.0,129,8.2,78.23871696451255,358,7,719,798,719,70367.0,739478.0
2013.0,14,146.0,40,8.2,79.09913894747186,515,344,637,501,390,60701.0,1429534.0
2013.0,15,87.0,182,8.2,73.0,544,380,199,272,640,40382.0,144501.0
2013.0,12,186.0,90,8.2,77.95879277879732,396,204,728,646,60,61137.0,1626289.0
2012.0,1,321.0,17,8.2,89.0,40,402,653,599,858,82365.0,0.0
2010.0,14,134.0,137,8.2,80.00547684983846,516,493,672,518,723,42341.0,7461.0
2012.0,14,135.0,15,8.2,79.73441655385989,494,267,496,667,324,33237.0,39567.0
2009.0,8,129.0,168,8.2,80.0,264,500,726,628,128,193217.0,6391436.0
2011.0,14,140.0,29,8.2,71.0,153,605,580,386,395,435950.0,13657115.0
2010.0,1,138.0,199,8.2,63.0,313,382,203,531,79,1129894.0,128012934.0
2009.0,12,96.0,67,8.2,88.0,380,76,186,411,432,935507.0,293004164.0
2013.0,1,180.0,84,8.2,75.0,313,382,406,524,606,1187498.0,116900694.0
2007.0,12,153.0,141,8.2,68.0,452,556,795,735,809,74129.0,1113541.0
2007.0,1,158.0,137,8.2,93.0,376,146,615,145,595,517359.0,40222514.0
2006.0,14,118.0,148,8.2,98.0,172,270,56,765,577,618623.0,37634615.0
2010.0,12,103.0,67,8.2,92.0,288,604,765,378,661,757032.0,415004880.0
2005.0,1,132.0,28,8.2,62.0,210,261,576,725,828,1032749.0,70511035.0
2006.0,14,167.0,95,8.2,79.22903378420281,396,0,725,775,805,111937.0,2197331.0
2005.0,12,122.0,137,8.2,81.17533552270419,442,21,641,770,69,33354.0,733094.0
2005.0,14,140.0,0,8.2,70.0,83,128,539,454,537,1308302.0,206852432.0
2004.0,12,210.0,137,8.2,78.49224145206716,43,556,249,464,817,83005.0,1223240.0
2004.0,8,156.0,87,8.2,82.0,363,94,23,842,462,331308.0,5509040.0
2004.0,12,119.0,69,8.2,80.0,179,116,751,808,10,333915.0,4711096.0
2001.0,14,135.0,85,8.2,72.0,433,531,183,363,157,848920.0,170742341.0
2000.0,12,156.0,17,8.2,80.80007136743959,390,8,740,630,840,57057.0,0.0
1998.0,1,107.0,17,8.2,66.0,175,290,162,605,380,535216.0,3897569.0
1997.0,1,138.0,129,8.2,90.0,87,358,680,288,502,531967.0,64616940.0
1996.0,15,128.0,132,8.2,82.15836782616478,537,554,789,766,917,64118.0,0.0
1995.0,1,170.0,132,8.2,76.0,331,9,656,843,441,577113.0,67436818.0
1995.0,1,178.0,122,8.2,73.0,313,514,713,384,370,466276.0,42438300.0
1994.0,12,160.0,20,8.2,81.65032720967736,395,0,691,677,477,49300.0,0.0
1992.0,1,130.0,184,8.2,85.0,84,135,252,590,741,375935.0,101157447.0
1989.0,12,127.0,0,8.2,65.0,470,249,705,19,190,692366.0,197171806.0
1988.0,8,142.0,95,8.2,83.23188274394843,123,161,79,504,337,26402.0,280015.0
1988.0,12,86.0,81,8.2,86.0,179,257,592,127,808,291180.0,1105564.0
1988.0,1,132.0,36,8.2,72.0,245,93,11,91,731,793164.0,83008852.0
1985.0,12,162.0,31,8.2,96.0,9,591,7,375,174,112505.0,4135750.0
1980.0,1,129.0,90,8.2,89.0,313,514,107,384,269,321860.0,23383987.0
1979.0,12,162.0,176,8.2,83.42188216888576,25,19,19,28,667,116945.0,234723.0
1978.0,12,99.0,162,8.2,85.9709120681367,190,266,479,486,309,26875.0,0.0
1976.0,5,177.0,87,8.2,83.93876331138307,344,39,306,560,439,43885.0,0.0
1975.0,12,204.0,2,8.2,83.27195707888231,397,548,163,22,31,51284.0,0.0
1975.0,5,91.0,42,8.2,91.0,487,594,271,391,248,500875.0,1229197.0
1963.0,12,172.0,48,8.2,86.0,248,574,326,684,140,224730.0,12100000.0
1962.0,12,129.0,122,8.2,88.0,420,240,396,245,760,293811.0,0.0
1961.0,15,110.0,30,8.2,87.67537837257575,9,611,191,809,925,111244.0,0.0
1961.0,1,179.0,182,8.2,60.0,462,568,93,692,589,69458.0,0.0
1959.0,12,121.0,115,8.2,98.0,49,410,780,329,285,243943.0,25000000.0
1957.0,12,91.0,172,8.2,88.0,190,622,75,320,303,96381.0,0.0
1957.0,1,96.0,143,8.2,88.0,190,429,273,74,669,164939.0,0.0
1955.0,15,118.0,132,8.2,97.0,265,299,100,705,374,28810.0,57226.0
1954.0,1,105.0,136,8.2,75.0,22,498,270,700,438,158335.0,12562.0
1953.0,12,136.0,137,8.2,88.54094037046232,536,117,116,796,802,53153.0,0.0
1950.0,15,88.0,129,8.2,98.0,9,611,484,544,842,152572.0,96568.0
1950.0,7,138.0,137,8.2,98.0,258,64,45,264,138,120539.0,10177.0
1948.0,7,126.0,54,8.2,98.0,241,262,807,822,107,114304.0,5014000.0
1942.0,7,99.0,120,8.2,86.0,126,102,314,709,258,29915.0,0.0
1925.0,7,95.0,40,8.2,93.70070226686977,74,111,485,829,327,101053.0,5450000.0
1924.0,7,45.0,20,8.2,95.62699855127693,65,97,430,382,253,41985.0,977375.0
2019.0,8,122.0,172,8.1,95.0,89,464,3,511,881,63134.0,3759854.0
2016.0,14,136.0,179,8.1,77.62715979847053,34,581,30,463,36,39216.0,1241223.0
2016.0,0,130.0,77,8.1,78.0,347,450,698,55,497,47708.0,0.0
2016.0,10,106.0,129,8.1,77.78189572885032,367,411,33,412,120,141516.0,0.0
2016.0,1,145.0,174,8.1,84.0,73,360,421,130,647,113649.0,2006788.0
2014.0,8,139.0,137,8.1,74.0,533,35,52,793,687,50700.0,3492754.0
2014.0,14,160.0,22,8.1,77.16857132072079,518,558,745,774,489,50445.0,901610.0
2017.0,1,137.0,28,8.1,77.0,208,259,612,158,99,647884.0,226277068.0
2015.0,8,118.0,179,8.1,86.0,289,86,320,760,901,371538.0,14677674.0
2014.0,8,122.0,106,8.1,77.0,91,152,517,593,200,177059.0,3107072.0
2020.0,12,100.0,67,8.1,83.0,380,352,331,825,298,159171.0,0.0
2014.0,15,196.0,137,8.1,88.0,362,247,532,186,68,46547.0,165520.0
2014.0,14,153.0,104,8.1,76.71320104517878,394,0,55,749,97,163061.0,10616104.0
2012.0,12,125.0,102,8.1,78.46118550708323,513,471,8,581,566,51739.0,923221.0
2014.0,14,99.0,39,8.1,88.0,524,495,221,545,4,707630.0,59100318.0
2014.0,1,149.0,170,8.1,79.0,100,57,675,602,877,859695.0,167767189.0
2012.0,12,117.0,78,8.1,71.0,301,42,747,293,922,38803.0,0.0
2016.0,1,139.0,87,8.1,71.0,325,30,693,510,848,435928.0,67209615.0
2015.0,12,95.0,67,8.1,94.0,380,527,32,80,535,616228.0,356461711.0
2012.0,12,151.0,105,8.1,77.57913820727322,39,497,631,315,795,75721.0,2804874.0
2013.0,1,134.0,87,8.1,96.0,468,118,543,565,101,640533.0,56671993.0
2013.0,14,123.0,16,8.1,74.0,433,144,120,618,22,432811.0,26947624.0
2019.0,14,152.0,16,8.1,81.0,208,424,124,406,122,291289.0,117624028.0
2015.0,1,129.0,84,8.1,93.0,502,415,542,665,538,420316.0,45055776.0
2014.0,5,93.0,68,8.1,85.0,505,157,85,500,259,51679.0,857524.0
2012.0,14,122.0,199,8.1,78.5070846820941,473,623,604,318,660,57806.0,1035953.0
2011.0,12,155.0,100,8.1,77.67271394133599,545,258,222,2,487,67927.0,3108485.0
2013.0,1,153.0,129,8.1,70.0,110,259,323,860,616,601149.0,61002302.0
2015.0,14,120.0,11,8.1,90.0,159,605,112,604,935,882316.0,154058340.0
2008.0,14,104.0,22,8.1,79.50910616330506,349,41,574,373,0,73891.0,0.0
2008.0,8,116.0,137,8.1,72.0,84,135,69,138,8,720450.0,148095302.0
2011.0,14,130.0,47,8.1,85.0,107,148,206,726,622,764493.0,381011219.0
2008.0,6,130.0,162,8.1,68.0,542,422,685,837,490,48582.0,1498210.0
2009.0,3,93.0,86,8.1,78.46392040354172,286,506,375,113,791,253575.0,0.0
2009.0,15,92.0,74,8.1,79.09077276367987,5,607,626,220,74,164462.0,0.0
2010.0,12,98.0,62,8.1,75.0,109,126,346,268,156,666773.0,217581231.0
2007.0,8,148.0,38,8.1,73.0,446,190,798,117,571,572921.0,18354356.0
2007.0,8,122.0,132,8.1,91.0,127,315,778,354,447,856916.0,74283625.0
2006.0,12,144.0,105,8.1,78.90332383361695,394,547,58,853,97,43137.0,2217561.0
2004.0,14,132.0,178,8.1,86.0,84,255,138,590,381,635975.0,100492203.0
2004.0,6,121.0,87,8.1,79.0,486,169,731,380,915,334320.0,23530892.0
2004.0,8,140.0,31,8.1,64.0,214,287,820,224,338,37820.0,1111061.0
